TimeStamp,Application,Log Name,GPU0,GPU1,CPU,Resolution,Runtime,Avg FPS,1% Low FPS,AvgPCLatency (ms),    ,Min FPS,Max FPS,0.1% Low FPS,0.1% FPS,1% FPS,5% FPS,10% FPS,Time (ms),MinPCLatency (ms),MaxPCLatency (ms),RenderPresentLatency (ms),GPU0Clk(MHz),GPU0MemClk(MHz),GPU0 Util%,GPU0 Temp (C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1 Util%,GPU1 Temp (C),Perf/Watt (F/J) (PCAT),PCAT Power (Watts),GPU NV Power (Watts) (API),CPUClk(MHz),CPU Util %,CPU Temp (C),CPU Package Power(Watts),Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W),Battery Charge Rate(W),OS,GPU Base Driver,GPU Driver Package,System RAM,Motherboard
2023-02-25T144523,witcher3a.exe,FrameView_witcher3.exe_2023_02_25T144502_Log.csv,Intel(R) UHD Graphics,NVIDIA GeForce RTX 2070 with Max-Q Design,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,44.843,17.024,104.396,  ,11.422,64.248,11.422,11.422,20.627,30.435,36.945,20.210,85.583,163.968,28.080,1519.879,5500.000,97.182,64.327,NA,NA,NA,NA,NA,NA,78,3676.552,68.494,77.660,30.665,59.247,59.247,100.000,NA,NA,Microsoft Windows 11 Home 2009 10.0.22000,NVIDIA: r517_40 ,NVIDIA: 51748 ,16GB DDR4 3200 MT/s,ASUSTeK COMPUTER INC. GU502LW
2023-02-25T151049,witcher3.exe,FrameView_witcher3.exe_2023_02_25T151022_Log.csv,Intel(R) UHD Graphics,NVIDIA GeForce RTX 2070 with Max-Q Design,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,42.556,13.093,107.692,  ,3.790,65.244,5.305,8.837,21.323,30.673,35.103,26.899,83.034,330.651,26.631,1460.681,5500.000,94.940,75.250,NA,NA,NA,NA,NA,NA,78,3599.711,74.537,87.695,30.787,59.247,59.247,100.000,-0.300,NA,Microsoft Windows 11 Home 2009 10.0.22000,NVIDIA: r517_40 ,NVIDIA: 51748 ,16GB DDR4 3200 MT/s,ASUSTeK COMPUTER INC. GU502LW
