Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.836213,20.237,25.073,0.414,28.833,32.303,1.425,99.953,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.636,1.343,0.636,36,77,77,NA,3668,75, 81,27.917, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.856820,20.607,20.798,0.416,29.534,32.494,1.433,101.769,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.625,1.319,0.625,36,77,77,NA,3668,75, 81,27.917, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.878723,21.903,20.825,0.420,29.490,31.417,1.346,102.724,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.588,1.241,0.588,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.899147,20.424,20.861,0.405,30.467,31.853,1.492,103.311,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.630,1.330,0.630,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.919866,20.719,20.771,0.464,31.423,31.906,1.517,103.733,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.621,1.311,0.621,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.945574,25.708,25.028,0.479,27.771,31.226,1.080,106.813,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.501,1.057,0.501,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.975496,29.922,20.844,0.447,19.232,22.148,0.643,107.288,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.430,0.908,0.430,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1634.997435,21.939,20.827,0.761,17.951,21.036,0.818,106.299,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.587,1.239,0.587,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1635.017858,20.423,20.822,0.423,18.016,21.434,0.882,89.429,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.630,1.330,0.630,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
witcher3.exe,Intel(R) UHD Graphics,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,1920x1080,D3D12,0,1832,0x000002900C071B50,1,0,Hardware Composed: Independent Flip,0,1635.035626,17.768,20.982,0.546,21.676,24.648,1.220,92.256,1470,5500,96,70,NA,NA,NA,NA,NA,NA,0.724,1.529,0.724,36,77,77,NA,3668,75, 81,28.205, 45,76,73,76,80,75,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.247,59.247,100.000,-2.121
